graduation_year,education_level,course_group,first_job_level,first_job_sector,qualification_requirement,first_job_via_nysc,employer_valued_factor,course_preparation_score,employability_skill_count,problem_solving_skill,communication_skill,first_monthly_income_ngn
2013,Bachelor's degree,Engineering and built environment,Experienced/professional,Technology and telecommunications,Not required,Not completed,No single factor,1,4,True,True,75000.0
2014,Bachelor's degree,Social sciences,Entry level,"Media, marketing and creative",Formal requirement,No,Internship or practical experience,1,4,True,True,35000.0
2013,Bachelor's degree,Business and economics,Entry level,Finance and consulting,Formal requirement,No,Subject studied,2,2,False,True,125000.0
2013,Bachelor's degree,Technology and computing,Managerial,Other,Gave an advantage,No,Internship or practical experience,3,1,False,False,75000.0
2015,Bachelor's degree,Engineering and built environment,Entry level,"Media, marketing and creative",Not required,No,Other,3,2,False,False,35000.0
2013,Higher National Diploma (HND),Business and economics,Entry level,Technology and telecommunications,Formal requirement,No,Unknown,1,2,False,False,35000.0
2017,Bachelor's degree,Business and economics,Entry level,"Media, marketing and creative",Formal requirement,Yes,Subject studied,3,1,False,False,35000.0
2015,Bachelor's degree,Business and economics,Entry level,Technology and telecommunications,Formal requirement,No,No single factor,1,3,False,True,10000.0
2016,Bachelor's degree,Business and economics,Entry level,Finance and consulting,Gave an advantage,Yes,Unknown,3,1,False,False,75000.0
2016,Bachelor's degree,Social sciences,Clerical and administrative,Technology and telecommunications,Unknown,No,Unknown,2,4,True,True,35000.0
2015,Bachelor's degree,Business and economics,Entry level,Finance and consulting,Formal requirement,No,No single factor,4,1,False,False,225000.0
2017,Bachelor's degree,Business and economics,Entry level,Technology and telecommunications,Formal requirement,No,Internship or practical experience,3,6,True,True,35000.0
2016,Ordinary National Diploma (OND),Engineering and built environment,Entry level,Education,Not required,No,Academic credential,3,6,True,True,10000.0
2014,Master's degree,Engineering and built environment,Entry level,Finance and consulting,Not required,No,No single factor,3,4,True,True,125000.0
2017,Bachelor's degree,Business and economics,Entry level,Education,Unknown,Yes,Academic credential,3,5,True,True,10000.0
2017,Bachelor's degree,Engineering and built environment,Entry level,"Engineering, construction and energy",Formal requirement,No,Internship or practical experience,4,6,True,True,35000.0
2015,Bachelor's degree,Technology and computing,Clerical and administrative,"Media, marketing and creative",Formal requirement,No,Academic credential,3,1,False,False,75000.0
2016,Bachelor's degree,Technology and computing,Entry level,Finance and consulting,Gave an advantage,No,Unknown,3,5,False,True,75000.0
2015,Bachelor's degree,Technology and computing,Clerical and administrative,Public and nonprofit,Gave an advantage,No,Internship or practical experience,3,4,True,False,10000.0
2013,Bachelor's degree,Health and life sciences,Entry level,"Media, marketing and creative",Gave an advantage,No,Skills and prior experience,3,1,True,False,35000.0
2016,Bachelor's degree,Other,Entry level,Public and nonprofit,Not required,No,Internship or practical experience,1,3,False,True,35000.0
2014,Bachelor's degree,Business and economics,Entry level,"Media, marketing and creative",Formal requirement,No,Academic credential,3,5,True,True,35000.0
2013,Master's degree,Other,Entry level,Finance and consulting,Not required,No,Academic credential,1,4,True,True,35000.0
2013,Bachelor's degree,Business and economics,Entry level,"Media, marketing and creative",Formal requirement,No,Academic credential,3,5,True,True,10000.0
2016,Bachelor's degree,"Arts, communication and humanities",Entry level,Education,Formal requirement,No,Subject studied,2,3,False,True,10000.0
2013,Bachelor's degree,Engineering and built environment,Entry level,"Engineering, construction and energy",Formal requirement,No,Subject studied,1,2,False,True,10000.0
2015,Bachelor's degree,Social sciences,Entry level,Education,Gave an advantage,No,Subject studied,3,6,True,True,10000.0
2017,Bachelor's degree,Health and life sciences,Entry level,Education,Formal requirement,No,Subject studied,4,2,True,False,10000.0
2013,Bachelor's degree,Business and economics,Entry level,Finance and consulting,Gave an advantage,No,Academic credential,2,1,True,False,75000.0
2013,Master's degree,"Arts, communication and humanities",Clerical and administrative,Other,Not required,No,Academic credential,4,6,True,True,35000.0
2014,Bachelor's degree,Technology and computing,Entry level,"Engineering, construction and energy",Gave an advantage,No,Internship or practical experience,2,1,False,False,75000.0
2015,Bachelor's degree,Other,Experienced/professional,Health,Formal requirement,No,Subject studied,3,6,True,True,35000.0
2014,Master's degree,Engineering and built environment,Clerical and administrative,Education,Not required,No,Other,4,3,True,False,10000.0
2014,Bachelor's degree,Business and economics,Experienced/professional,Technology and telecommunications,Formal requirement,No,Unknown,3,1,False,False,35000.0
2014,Bachelor's degree,Business and economics,Clerical and administrative,Trade and services,Not required,No,Internship or practical experience,2,1,False,True,35000.0
2015,Bachelor's degree,Other,Entry level,Technology and telecommunications,Not required,No,Academic credential,3,5,True,True,35000.0
2017,Bachelor's degree,Health and life sciences,Experienced/professional,Health,Formal requirement,No,Subject studied,4,1,False,False,10000.0
2017,Bachelor's degree,Technology and computing,Experienced/professional,Trade and services,Not required,No,No single factor,2,2,False,True,35000.0
2014,Master's degree,"Arts, communication and humanities",Entry level,Trade and services,Gave an advantage,No,Academic credential,4,2,False,True,75000.0
2014,Bachelor's degree,Business and economics,Clerical and administrative,Trade and services,Formal requirement,No,Academic credential,3,3,False,True,10000.0
2013,Bachelor's degree,Business and economics,Entry level,"Media, marketing and creative",Formal requirement,No,Subject studied,1,3,False,True,75000.0
2013,Master's degree,Technology and computing,Entry level,Technology and telecommunications,Gave an advantage,No,Internship or practical experience,3,6,True,True,75000.0
2014,Bachelor's degree,Social sciences,Entry level,Technology and telecommunications,Gave an advantage,No,Internship or practical experience,3,1,False,False,35000.0
2014,Bachelor's degree,Education,Entry level,Public and nonprofit,Not required,No,No single factor,1,4,True,True,125000.0
2017,Bachelor's degree,Business and economics,Entry level,Finance and consulting,Formal requirement,No,Academic credential,3,6,True,True,35000.0
2014,Bachelor's degree,Other,Entry level,"Engineering, construction and energy",Not required,No,No single factor,1,1,False,False,10000.0
2016,Bachelor's degree,Business and economics,Entry level,Technology and telecommunications,Formal requirement,Yes,Internship or practical experience,1,1,False,False,125000.0
2015,Bachelor's degree,Social sciences,Clerical and administrative,Public and nonprofit,Formal requirement,No,Internship or practical experience,1,4,False,True,10000.0
