age,education_level,career_field,main_sector,employer_type,contract_type,weekly_hours,residence,province,monthly_income_rwf
19,Lower secondary education,Sales and services,Services,Private business or VUP,Oral agreement,48.0,Urban,Kigali city,26000.0
19,Lower secondary education,Science and engineering,Industry,Private business or VUP,Oral agreement,54.0,Urban,Kigali city,40000.0
21,Lower secondary education,Elementary and other work,Industry,Private business or VUP,Oral agreement,48.0,Urban,Kigali city,156000.0
24,Primary education,Elementary and other work,Agriculture,Private business or VUP,Oral agreement,6.0,Urban,Kigali city,39000.0
17,Primary education,Elementary and other work,Services,Household,Oral agreement,70.0,Urban,Kigali city,15000.0
27,Tertiary education,"Education, health and social services",Services,Public institution,Written contract,40.0,Urban,Kigali city,135000.0
27,Upper secondary education,"Education, health and social services",Services,Private business or VUP,Oral agreement,18.0,Urban,Kigali city,80000.0
21,Lower secondary education,"Education, health and social services",Services,Private business or VUP,Oral agreement,48.0,Urban,Kigali city,60000.0
26,Tertiary education,"Business, management and office work",Services,Private business or VUP,Written contract,45.0,Urban,Kigali city,280000.0
20,Lower secondary education,Elementary and other work,Services,Private business or VUP,Oral agreement,70.0,Urban,Kigali city,20000.0
27,Upper secondary education,Sales and services,Services,Private business or VUP,Written contract,30.0,Urban,Kigali city,130000.0
21,Upper secondary education,Sales and services,Services,Private business or VUP,Oral agreement,35.0,Urban,Kigali city,182000.0
16,Primary education,Sales and services,Services,Private business or VUP,Oral agreement,18.0,Urban,Kigali city,25000.0
29,Lower secondary education,Elementary and other work,Services,Private business or VUP,Oral agreement,48.0,Urban,Kigali city,50000.0
28,Primary education,Skilled trades and operators,Industry,Private business or VUP,Oral agreement,56.0,Urban,Kigali city,151666.67
30,Lower secondary education,Skilled trades and operators,Industry,Private business or VUP,Oral agreement,56.0,Urban,Kigali city,151666.67
27,Upper secondary education,Skilled trades and operators,Industry,Private business or VUP,Oral agreement,56.0,Urban,Kigali city,151666.67
18,Primary education,Elementary and other work,Services,Household,Oral agreement,70.0,Urban,Kigali city,10000.0
19,Primary education,"Education, health and social services",Services,Household,Oral agreement,70.0,Urban,Kigali city,15000.0
30,Primary education,Sales and services,Services,Private business or VUP,Oral agreement,60.0,Urban,Kigali city,70000.0
29,Lower secondary education,"Business, management and office work",Services,Private business or VUP,Oral agreement,48.0,Urban,Kigali city,80000.0
19,Primary education,Elementary and other work,Services,Household,Oral agreement,60.0,Urban,Kigali city,15000.0
19,Upper secondary education,Sales and services,Services,Private business or VUP,Oral agreement,42.0,Urban,Kigali city,90000.0
20,Primary education,Elementary and other work,Services,Household,Oral agreement,56.0,Urban,Kigali city,20000.0
23,Lower secondary education,Elementary and other work,Services,Household,Oral agreement,60.0,Urban,Kigali city,20000.0
26,Primary education,Sales and services,Services,Private business or VUP,Oral agreement,48.0,Urban,Kigali city,35000.0
23,Primary education,Sales and services,Services,Private business or VUP,Oral agreement,84.0,Urban,Kigali city,70000.0
19,Lower secondary education,Elementary and other work,Services,Household,Written contract,63.0,Urban,Kigali city,15000.0
