epoch,train_rmse_ngn,test_rmse_ngn
1,46089.88662160042,46121.61118411343
2,45565.955555065375,45633.95120713632
3,45165.09333274647,45276.26458639711
4,44846.96725093917,45007.75251523504
5,44585.5061399167,44812.54552644467
6,44376.44997337927,44649.26011457131
7,44202.740025761035,44527.43056430429
8,44057.00008229744,44438.527493213325
9,43932.61833170203,44351.444357110086
10,43827.318659791716,44291.107477465885
11,43736.37834522037,44225.592982953596
12,43659.62316544591,44186.742727333745
13,43590.35368559499,44141.25347582309
14,43531.185175942424,44108.64144517346
15,43479.02738305785,44085.73744158583
16,43431.66589454563,44059.93224739061
17,43390.56420784539,44043.53593862931
18,43352.89827550112,44026.6763155909
19,43320.63477453447,44011.23596547374
20,43289.83361272744,43994.56616138896
21,43262.52454586089,43976.87927511934
22,43237.460938522694,43971.64372666902
23,43214.37401931763,43968.572357491816
24,43191.88828762983,43959.448670371006
25,43171.61032253374,43953.74281616349
26,43152.42424983543,43947.27088155746
27,43135.052261781704,43941.29378622829
28,43118.95846490688,43937.129503356875
29,43103.983401052246,43933.09630529835
30,43089.94204582909,43927.96132416842
31,43076.701667728295,43925.306915826666
32,43064.15695631139,43923.98862320275
33,43052.646225053206,43923.136844225955
34,43041.23934583669,43920.96431306252
35,43030.823746476635,43914.88225338237
36,43020.87151253506,43912.23910587367
37,43011.32130893263,43910.49382231344
38,43001.957031376514,43910.500836147694
39,42993.29460749284,43909.91410921609
40,42985.15942025784,43906.73838234168
41,42977.28296386074,43904.91183851457
42,42969.80511430792,43905.12321234772
43,42962.576568400546,43903.34780673597
44,42955.74346739869,43902.98349656229
45,42949.17627306194,43901.458188331475
46,42942.86727732275,43900.84912380921
47,42936.68292631085,43898.2406722038
48,42930.69994387483,43898.30225171993
49,42924.960774505955,43899.329608461376
50,42919.45655174841,43897.94566907999
51,42914.14789480941,43896.74176167423
52,42908.92470075256,43895.40744492024
53,42904.01888590899,43894.63292341289
54,42899.23251630777,43894.1990939482
55,42894.63848027677,43892.86803750234
56,42890.099542310505,43894.94422047112
57,42885.64656105133,43894.24327930722
58,42881.36041957823,43893.0180057266
59,42877.250453293265,43892.062610236266
60,42873.2046717663,43891.750840352295
61,42869.42004949958,43892.17250038961
62,42865.659622796054,43889.99984209951
63,42862.04371432364,43891.184204987505
64,42858.46981385106,43891.528788224
65,42855.015771518716,43889.80765941941
66,42851.64003088215,43891.24290009434
67,42848.34797984514,43888.575189219606
68,42845.24955528974,43889.83512612232
69,42842.133045416864,43889.67919461692
70,42839.12262129908,43889.6003335855
71,42836.19272604381,43888.20516090332
72,42833.32103369173,43888.23809812754
73,42830.553712393186,43887.821324432705
74,42827.829961749536,43887.29883972068
75,42825.16698762211,43886.95472778612
76,42822.569302121294,43887.081785713264
77,42820.03714020225,43886.76370709426
78,42817.59506030647,43887.544795460686
79,42815.126860442084,43886.581030251895
80,42812.79525976493,43886.8773041263
81,42810.44348909679,43885.4756657903
82,42808.21718684351,43885.675032023566
83,42806.006601106215,43885.038045679525
84,42803.77355256859,43885.3014463574
85,42801.643632739,43885.71626686351
86,42799.55925774934,43884.82397035234
87,42797.52049717396,43883.699709704
88,42795.468939519626,43883.51902435722
89,42793.52001140235,43883.69027272143
90,42791.62557551036,43882.61668511184
91,42789.743664010086,43883.15039211
92,42787.88706426481,43882.96268687601
93,42786.029363097194,43882.35901971826
94,42784.273457718766,43881.96480347406
95,42782.52220984594,43881.38344656682
96,42780.84369615199,43881.69418349439
97,42779.13437973207,43880.78668025402
98,42777.484440651904,43881.750702547695
99,42775.8423926109,43880.75634199377
100,42774.259086531856,43881.42653274542
101,42772.717392479244,43880.87932712753
102,42771.194897318586,43880.672511659264
103,42769.69417787184,43879.558921157
104,42768.234851672445,43880.549181752154
105,42766.77020105033,43880.84355632426
106,42765.32254869931,43879.23284418558
107,42763.91342027074,43878.65511758944
108,42762.52994632684,43877.97119040848
109,42761.181902375094,43878.277071036755
110,42759.855413798614,43878.6585766803
111,42758.529827651684,43877.883611575504
112,42757.19912221655,43877.47088653896
113,42755.93467133775,43877.236423683506
114,42754.68648330113,43877.48590076174
115,42753.46032929723,43877.330370712894
116,42752.2267866915,43876.5971768101
117,42751.02377404274,43876.33248079745
118,42749.85347675864,43876.84410969465
119,42748.697113001705,43875.481433715206
120,42747.568104331054,43875.44418679833
